Temperature_C,Temperature_K,Viscosity_cP,Viscosity_Pa_s,FluidState,MobilityRatio
30,303.15,6450,6.450,Ultra-Viscous Solid,0.015
47,320.15,3200,3.200,Baghewala Ambient Reservoir,0.031
60,333.15,1850,1.850,High Friction Drag,0.054
80,353.15,820,0.820,Moderate Viscosity,0.122
100,373.15,410,0.410,Enhanced Mobility,0.244
130,403.15,175,0.175,Good Mobility,0.571
160,433.15,88,0.088,High Mobility,1.136
200,473.15,42,0.042,Optimal Fluidity,2.381
240,513.15,24,0.024,Peak Heated Flow,4.167
280,553.15,16,0.016,Steam Chamber Boundary,6.250
300,573.15,13,0.013,Near Wellbore Steam,7.692
