CycleDay,Phase,BottomHoleTemp_C,Viscosity_cP,OilRate_m3day,WaterRate_m3day,WaterCut_Pct,SteamInjectionRate_m3day,SOR_m3m3,NetDailyMargin_USD
-5,INJECTION,180.0,78,0.0,0.0,0.0,450.0,0.0,-4500
-3,INJECTION,245.0,24,0.0,0.0,0.0,450.0,0.0,-4500
-1,SOAK,295.0,18,0.0,0.0,0.0,0.0,0.0,-500
1,PRODUCTION,282.5,21,18.4,4.2,18.6,0.0,2.1,7250
3,PRODUCTION,265.0,28,17.1,4.5,20.8,0.0,2.3,6780
5,PRODUCTION,244.0,36,15.8,4.9,23.7,0.0,2.6,6220
7,PRODUCTION,221.0,52,14.2,5.4,27.5,0.0,2.9,5500
10,PRODUCTION,188.0,95,12.5,6.1,32.8,0.0,3.3,4750
14,PRODUCTION,152.0,210,10.4,6.8,39.5,0.0,3.8,3820
18,PRODUCTION,124.0,450,8.6,7.5,46.6,0.0,4.4,2980
22,PRODUCTION,102.0,820,7.1,8.1,53.3,0.0,5.1,2250
26,PRODUCTION,86.0,1350,5.8,8.6,59.7,0.0,5.9,1650
30,PRODUCTION,74.0,1980,4.8,9.0,65.2,0.0,6.7,1180
35,PRODUCTION,64.0,2520,3.9,9.4,70.7,0.0,7.6,750
40,PRODUCTION,57.0,2880,3.2,9.7,75.2,0.0,8.6,420
45,PRODUCTION,52.0,3050,2.6,10.0,79.4,0.0,9.7,180
50,PRODUCTION,49.0,3140,2.1,10.2,82.9,0.0,10.9,-50
55,PRODUCTION,47.5,3180,1.7,10.3,85.8,0.0,12.2,-280
60,PRODUCTION,47.0,3200,1.4,10.4,88.1,0.0,13.6,-410
