Position_in,SurfaceLoad_lbs,DownholeLoad_lbs,Viscosity_cP,SPM,AnomalyType,RodFloatingRisk_Pct
0.0,2100,4200,450,6.0,NORMAL,12
10.0,4200,4300,450,6.0,NORMAL,12
25.0,6800,4450,450,6.0,NORMAL,12
50.0,9400,4500,450,6.0,NORMAL,12
75.0,11100,4500,450,6.0,NORMAL,12
100.0,11800,4500,450,6.0,NORMAL,12
90.0,9200,1200,450,6.0,NORMAL,12
60.0,5400,950,450,6.0,NORMAL,12
30.0,2800,850,450,6.0,NORMAL,12
10.0,2200,800,450,6.0,NORMAL,12
0.0,1800,4100,1980,7.5,ROD_FLOATING,88
20.0,4500,4200,1980,7.5,ROD_FLOATING,88
50.0,7800,4200,1980,7.5,ROD_FLOATING,88
80.0,10500,4200,1980,7.5,ROD_FLOATING,88
100.0,11900,4200,1980,7.5,ROD_FLOATING,88
85.0,7200,300,1980,7.5,ROD_FLOATING,88
50.0,2800,200,1980,7.5,ROD_FLOATING,88
20.0,450,200,1980,7.5,ROD_FLOATING,88
5.0,150,200,1980,7.5,ROD_FLOATING,88
